iata,icao,type,name,city,iso_region,region_name,iso_country,country,lat,lon,importance
IRG,YLHR,medium_airport,Lockhart River Airport,Lockhart River,AU-QLD,Queensland,AU,Australia,-12.7869,143.304993,25
LSY,YLIS,medium_airport,Lismore Airport,Lismore,AU-NSW,New South Wales,AU,Australia,-28.830689,153.258419,25
LHG,YLRD,medium_airport,Lightning Ridge Airport,,AU-NSW,New South Wales,AU,Australia,-29.452857,147.977146,25
LRE,YLRE,medium_airport,Longreach Airport,Longreach,AU-QLD,Queensland,AU,Australia,-23.4342,144.279999,25
LER,YLST,medium_airport,Leinster Airport,,AU-WA,Western Australia,AU,Australia,-27.843299865722656,120.7030029296875,25
LVO,YLTN,small_airport,Laverton Airport,Laverton,AU-WA,Western Australia,AU,Australia,-28.614267,122.428673,15
TGN,YLTV,medium_airport,Latrobe Valley Airport,Morwell,AU-VIC,Victoria,AU,Australia,-38.211004,146.470817,20
UBB,YMAA,small_airport,Mabuiag Island Airport,Mabuiag Island,AU-QLD,Queensland,AU,Australia,-9.950168,142.19523,15
MYI,YMAE,small_airport,Murray Island Airport,Murray Island,AU-QLD,Queensland,AU,Australia,-9.915105,144.054644,15
AVV,YMAV,large_airport,Melbourne Avalon International Airport,Geelong/Melbourne,AU-VIC,Victoria,AU,Australia,-38.040269,144.467196,35
ABX,YMAY,medium_airport,Albury Airport,East Albury,AU-NSW,New South Wales,AU,Australia,-36.066758,146.959148,25
MRG,YMBA,medium_airport,Mareeba Airport,Mareeba,AU-QLD,Queensland,AU,Australia,-17.070277,145.424228,20
DGE,YMDG,medium_airport,Mudgee Airport,Mudgee,AU-NSW,New South Wales,AU,Australia,-32.564794,149.609452,20
MKR,YMEK,medium_airport,Meekatharra Airport,,AU-WA,Western Australia,AU,Australia,-26.6117000579834,118.5479965209961,25
MEB,YMEN,medium_airport,Melbourne Essendon Airport,Essendon Fields,AU-VIC,Victoria,AU,Australia,-37.7281,144.901993,25
MIM,YMER,medium_airport,Merimbula Airport,Merimbula,AU-NSW,New South Wales,AU,Australia,-36.9085998535,149.901000977,25
